optgroup, Australia 
5770,Norfolk Island 
5772,Lord Howe Island 
5774,Middleton Reef 
5775,Cato Island 
5781,Marion Reef 
5782,Mellish Reef 
5784,East Diamond Island 
5785,Willis Islands 
5790,Murray Islands 
5793,Bramble Cay 
5794,Darnley Island 
5798,Rennel Island 
5800,Dungeness Reef 
5801,Talab Island 
5802,Saibai Island 
5803,Gabba Island 
5804,Yam Island 
5807,Coconut Island 
5808,Suarji Island 
5809,Hawkesbury Island 
5810,TWIN ISLAND 
5811,East Strait Island 
5814,Ince Point (Wednesday Island) 
5817,THURSDAY ISLAND 
5818,Turtle Head 
5819,Round Island 
5820,GOOD'S ISLAND 
5821,White Rocks 
5823,BOOBY ISLAND 
5824,Proudfoot Shoal 
5825,Turu Cay 
5828,Bampfield Head 
5830,Tarilag Island 
5833,Crab Island 
5834,Herald Camp 
5836,Red Island 
5839,Possession Island 
5847,Frederick Point 
5850,Harrington Reef 
5854,Raine Island 
optgroup, Australia East Coast
5855,Turtle Head Island 
5857,Cairncross Island 
5859,Hannibal Island 
5860,Shelburne Bay 
5861,Cape Grenville 
5863,Sir Charles Hardy Islands 
5865,Piper Island 
5866,Portland Road 
5867,Restoration Island 
5868,Chapman Island 
5869,Ham Reef 
5871,Night Island 
5872,Suchen Reef 
5873,Morris Island 
5874,Creech Reef 
5875,Fife Island 
5876,Pelican Island, Queensland 
5878,Normanby River 
5880,Flinders Islands (Owen Channel) 
5882,Pipon Islands 
5887,Leggatt Island 
5889,Lizard Island 
5890,Cape Flattery, Australia 
5891,Low Wooded Isle 
5894,Cooktown 
5899,Bailay Creek 
5903,Low Islets 
5904,Port Douglas 
5905,Michaelmas Cay 
5906,Cairns 
5907,Green Island 
5909,Fitzroy Island 
5910,Sudbury Cay 
5912,High Island 
5913,Russell Island 
5914,Mourilyan Harbour 
5916,Clump Point 
5917,Dunk Island 
5918,Goold Island 
5919,Cardwell 
5920,Lucinda 
5921,Pith Reef 
5922,Rib Reef 
5923,Albino Rock 
5925,TOWNSVILLE 
5926,Cape Ferguson 
5930,Abbot Point 
5932,Bowen 
5934,Hayman Island 
5936,Double Bay 
5938,Molle Island 
5939,Shute Harbour 
5940,Hook Island 
5944,East Repulse Island 
5945,Bugatti Reef 
5946,Carlisle Island 
5948,St. Bees Island 
5949,Scawfell Island 
5950,Penrith Island 
5951,MACKAY 
5952,Hay Point 
5953,Prudhoe Island 
5954,Middle Island 
5955,Bell Cay 
5958,Flock Pigeon Island 
5959,Mcewen Islet 
5961,Osborn Islet 
