total,ID,Country,Mapped,ID
7,1, Admiralty Island, ,#N/A
81,2, Alaska, Alaska,2
5,3, Alaska (North), Alaska,2
2,4, Albania, Albania,4
24,5, Aleutian Islands, ,#N/A
1,6, Algeria, Algeria,6
14,7, Andaman Islands, ,#N/A
19,8, Angola, Angola,8
46,9, Antarctica, Antarctica,9
12,10, Archipelago de los Chonos, ,#N/A
73,11, Argentina, Argentina,11
1,12, Aruba, Aruba,12
351,13, Australia, Australia,13
144,14, Australia East Coast, Australia,13
89,15, Australia North Coast, Australia,13
78,16, Australia South Coast, Australia,13
7,17, Azores,Portugal,189
25,18, Bahama Islands, Bahama Islands,18
6,19, Bahrain, Bahrain,19
7,20, Bali,Indonesia,262
19,21, Bangladesh, Bangladesh,21
1,22, Banks Islands, ,#N/A
10,23, Baranof Island, ,#N/A
5,24, Belgium, Belgium,24
10,25, Belitung, ,#N/A
4,26, Belize, Belize,26
2,27, Benin, Benin,27
3,28, Bermuda, Bermuda,28
12,29, Bismarck Archipelago, ,#N/A
1,30, Bonaire, Bonaire,30
68,31, Brazil, Brazil,31
4,32, Brunei, Brunei,32
45,33, Burma, Burma,33
3,34, Cambodia, Cambodia,34
10,35, Cameroon, Cameroon,35
291,36, Canada, Canada,36
30,37, Vancouver Island, Canada,36
35,38, Canadian Arctic, Canada,36
8,39, Canary Islands, Canary Islands,39
11,40, Cape Verde Islands, Cape Verde Islands,40
15,41, Caroline Islands, ,#N/A
1,42, Cayman Islands, Cayman Islands,42
2,43, Central China Sea Reefs, ,#N/A
5,44, Chagos Archipelago, ,#N/A
6,45, Channel Islands,United Kingdom,263
11,46, Chicagof Island, ,#N/A
58,47, Chile, Chile,47
203,48, China, China,48
1,49, Coco Group, ,#N/A
14,50, Colombia, Colombia,50
5,51, Comoro Islands, ,#N/A
4,52, Cook Islands North, ,#N/A
3,53, Cook Islands South, ,#N/A
1,54, Corsica, Corsica,54
10,55, Costa Rica, Costa Rica,55
5,56, Cote D'Ivoire, Cote D'Ivoire,56
11,57, Croatia, Croatia,57
23,58, Cuba, Cuba,58
1,59, Curacao, Curacao,59
3,60, Cyprus, Cyprus,60
17,61, Denmark, Denmark,61
3,62, Djibouti, ,#N/A
4,63, Dominican Republic, Dominican Republic,63
3,64, East Timor, East Timor,64
20,65, Ecuador, Ecuador,65
15,66, Egypt, Egypt,66
196,67, England, England,67
6,68, Equatorial Guinea, Equatorial Guinea,68
5,69, Eritrea, Eritrea,69
15,70, Faeroe Islands, Faeroe Islands,70
18,71, Falkland Islands, Falkland Islands,71
30,72, Fiji Islands, Fiji Islands,72
9,73, Flores,Indonesia,262
124,74, France, France,74
3,75, Franz Josef Land, ,#N/A
8,76, French Guiana, French Guiana,76
6,77, Gabon, ,#N/A
41,78, Germany, Germany,78
9,79, Ghana, Ghana,79
9,80, Graham Island, ,#N/A
7,81, Grecian Archipelago, Greece,82
8,82, Greece, Greece,82
12,83, Greenland East Coast,Greenland,83
21,84, Greenland West Coast,Greenland,83
3,85, Guatemala, Guatemala,85
61,86, Guinea, Guinea,86
13,87, Guinea-Bissau, ,#N/A
17,88, Guyana, Guyana,88
2,89, Haiti, Haiti,89
9,90, Halmahera, Halmahera,90
24,91, Hawaiian Islands, Hawaiian Islands,91
5,92, Honduras, Honduras,92
58,93, Iceland, Iceland,93
2,94, Iles Australes, ,#N/A
5,95, Iles de la Societe, ,#N/A
4,96, Iles Loyaute, ,#N/A
4,97, Iles Marquises, ,#N/A
36,98, India East Coast,India,98
2,99, Indian Ocean Islands,India,98
3,100, India South Coast,India,98
68,101, India West Coast,India,98
27,102, Iran, Iran,102
9,103, Iraq, Iraq,103
119,104, Ireland, Ireland,104
4,105, Isle of Man,United Kingdom,263
